position,temperature,humidity,noice,time,createdAt,updatedAt,__v
Malabe,29.3,92,51.6,2025-04-07 08:17:08.443,2025-04-07 08:17:08.444,2025-04-07 08:17:08.444,0
Malabe,29.3,92,51.6,2025-04-07 08:22:09.869,2025-04-07 08:22:09.869,2025-04-07 08:22:09.869,0
Malabe,29.3,92,51.7,2025-04-07 08:27:11.155,2025-04-07 08:27:11.155,2025-04-07 08:27:11.155,0
Malabe,29.3,92,51.7,2025-04-07 08:32:12.500,2025-04-07 08:32:12.501,2025-04-07 08:32:12.501,0
Malabe,29.3,92,51.7,2025-04-07 08:37:13.764,2025-04-07 08:37:13.764,2025-04-07 08:37:13.764,0
Malabe,29.3,92,51.7,2025-04-07 08:42:15.024,2025-04-07 08:42:15.025,2025-04-07 08:42:15.025,0
Malabe,29.3,92,51.6,2025-04-07 08:47:16.412,2025-04-07 08:47:16.413,2025-04-07 08:47:16.413,0
Malabe,29.3,92,51.6,2025-04-07 08:52:17.788,2025-04-07 08:52:17.788,2025-04-07 08:52:17.788,0
Malabe,29.3,92,51.6,2025-04-07 08:57:19.259,2025-04-07 08:57:19.260,2025-04-07 08:57:19.260,0
Malabe,29.3,92,51.7,2025-04-07 09:02:20.742,2025-04-07 09:02:20.742,2025-04-07 09:02:20.742,0
Malabe,29.3,92,51.6,2025-04-07 09:07:22.163,2025-04-07 09:07:22.163,2025-04-07 09:07:22.163,0
Malabe,29.3,92,51.6,2025-04-07 09:12:23.409,2025-04-07 09:12:23.410,2025-04-07 09:12:23.410,0
Malabe,29.3,92,51.6,2025-04-07 09:17:24.695,2025-04-07 09:17:24.696,2025-04-07 09:17:24.696,0
Malabe,29.3,92,51.6,2025-04-07 09:22:26.071,2025-04-07 09:22:26.071,2025-04-07 09:22:26.071,0
Malabe,29.8,92,51.6,2025-04-07 09:27:27.350,2025-04-07 09:27:27.350,2025-04-07 09:27:27.350,0
Malabe,29.8,92,51.6,2025-04-07 09:32:28.677,2025-04-07 09:32:28.678,2025-04-07 09:32:28.678,0
Malabe,29.8,92,51.6,2025-04-07 09:37:30.297,2025-04-07 09:37:30.297,2025-04-07 09:37:30.297,0
Malabe,29.8,91,51.6,2025-04-07 09:42:34.916,2025-04-07 09:42:34.917,2025-04-07 09:42:34.917,0
Malabe,29.8,91,51.6,2025-04-07 09:47:37.250,2025-04-07 09:47:37.251,2025-04-07 09:47:37.251,0
Malabe,29.8,91,51.6,2025-04-07 09:52:38.679,2025-04-07 09:52:38.679,2025-04-07 09:52:38.679,0
Malabe,29.8,91,51.7,2025-04-07 09:57:40.044,2025-04-07 09:57:40.044,2025-04-07 09:57:40.044,0
Malabe,29.8,91,51.6,2025-04-07 10:02:41.421,2025-04-07 10:02:41.421,2025-04-07 10:02:41.421,0
